Rack: NU00120338
A01,NUEL552895
B01,NUEL553016
C01,NUEL553131
D01,NUEL553256
E01,NUEL553371
F01,NUEL553496
G01,NUEL553618
H01,NUEL553733
A02,NUEL552901
B02,NUEL553025
C02,NUEL553140
D02,NUEL553265
E02,NUEL553380
F02,NUEL553502
G02,NUEL553627
H02,NUEL553742
A03,NUEL552910
B03,NUEL553034
C03,NUEL553159
D03,NUEL553274
E03,NUEL553399
F03,NUEL553511
G03,NUEL553636
H03,NUEL553751
A04,NUEL552929
B04,NUEL553043
C04,NUEL553168
D04,NUEL553283
E04,NUEL553405
F04,NUEL553520
G04,NUEL553645
H04,NUEL553760
A05,NUEL552938
B05,NUEL553052
C05,NUEL553177
D05,NUEL553292
E05,NUEL553414
F05,NUEL553539
G05,NUEL553654
H05,NUEL553779
A06,NUEL552947
B06,NUEL553061
C06,NUEL553186
D06,NUEL553308
E06,NUEL553423
F06,NUEL553548
G06,NUEL553663
H06,NUEL553788
A07,NUEL552956
B07,NUEL553070
C07,NUEL553195
D07,NUEL553317
E07,NUEL553432
F07,NUEL553557
G07,NUEL553672
H07,NUEL553797
A08,NUEL552965
B08,NUEL553089
C08,NUEL553201
D08,NUEL553326
E08,NUEL553441
F08,NUEL553566
G08,NUEL553681
H08,NUEL553803
A09,NUEL552974
B09,NUEL553098
C09,NUEL553210
D09,NUEL553335
E09,NUEL553450
F09,NUEL553575
G09,NUEL553690
H09,NUEL553812
A10,NUEL552983
B10,NUEL553104
C10,NUEL553229
D10,NUEL553344
E10,NUEL553469
F10,NUEL553584
G10,NUEL553706
H10,NUEL553821
A11,NUEL552992
B11,NUEL553113
C11,NUEL553238
D11,NUEL553353
E11,NUEL553478
F11,NUEL553593
G11,NUEL553715
H11,NUEL553830
A12,NUEL553007
B12,NUEL553122
C12,NUEL553247
D12,NUEL553362
E12,NUEL553487
F12,NUEL553609
G12,NUEL553724
H12,NUEL553849
